"Date","Close Price"
2010-01-04,"       2612.60"
2010-01-05,"       2621.35"
2010-01-06,"       2583.10"
2010-01-07,"       2525.05"
2010-01-08,"       2464.20"
2010-01-11,"       2489.65"
2010-01-12,"       2586.95"
2010-01-13,"       2683.50"
2010-01-14,"       2689.75"
2010-01-15,"       2675.80"
2010-01-18,"       2686.65"
2010-01-19,"       2635.90"
2010-01-20,"       2657.70"
2010-01-21,"       2625.20"
2010-01-22,"       2575.60"
2010-01-25,"       2542.30"
2010-01-27,"       2502.25"
2010-01-28,"       2491.75"
2010-01-29,"       2475.50"
2010-02-01,"       2451.25"
2010-02-02,"       2439.95"
2010-02-03,"       2473.20"
2010-02-04,"       2429.05"
2010-02-05,"       2352.70"
2010-02-06,"       2379.45"
2010-02-08,"       2403.60"
2010-02-09,"       2473.80"
2010-02-10,"       2466.95"
2010-02-11,"       2498.45"
2010-02-15,"       2498.65"
2010-02-16,"       2541.45"
2010-02-17,"       2518.65"
2010-02-18,"       2533.65"
2010-02-19,"       2532.40"
2010-02-22,"       2568.35"
2010-02-23,"       2581.30"
2010-02-24,"       2576.30"
2010-02-25,"       2617.35"
2010-02-26,"       2601.95"
2010-03-02,"       2641.00"
2010-03-03,"       2666.25"
2010-03-04,"       2623.80"
2010-03-05,"       2635.70"
2010-03-08,"       2659.55"
2010-03-09,"       2683.95"
2010-03-10,"       2659.25"
2010-03-11,"       2682.95"
2010-03-12,"       2673.25"
2010-03-15,"       2701.25"
2010-03-16,"       2732.35"
2010-03-17,"       2738.30"
2010-03-18,"       2787.60"
2010-03-19,"       2772.35"
2010-03-22,"       2757.40"
2010-03-23,"       2775.50"
2010-03-25,"       2813.95"
2010-03-26,"       2774.85"
2010-03-29,"       2716.65"
2010-03-30,"       2644.10"
2010-03-31,"       2615.95"
2010-04-01,"       2670.45"
2010-04-05,"       2677.95"
2010-04-06,"       2651.25"
2010-04-07,"       2643.75"
2010-04-08,"       2663.75"
2010-04-09,"       2676.20"
2010-04-12,"       2683.10"
